doc_id,sid,tid,token,token_with_ws,lemma,upos,xpos,tid_source,relation,token_clean,expected_prediction
6348,1,21,of,of,of,ADP,IN,20,prep,of,1.85E-09
6348,1,22,honey,honey,honey,NOUN,NN,21,pobj,honey,1
6348,2,1,The,The,the,DET,DT,2,det,the,1.14E-07
6348,2,2,taste,taste,taste,NOUN,NN,3,nsubj,taste,7.05E-06
6348,2,3,starts,starts,start,VERB,VBZ,0,root,starts,2.99E-07
6348,2,4,off,off,off,PART,RP,3,prep,off,2.67E-08
6348,2,5,light,light,light,NOUN,NN,3,dobj,light,0.99994719
6348,2,7,then,then,then,ADV,RB,3,advmod,then,2.18E-08
6348,2,8,turns,turns,turn,VERB,VBZ,3,dep,turns,7.90E-05
6348,2,9,peppery,peppery,peppery,NOUN,NN,8,dobj,peppery,0.99999547
6348,2,10,with,with,with,ADP,IN,9,prep,with,6.55E-07
6348,2,11,black,black,black,ADJ,JJ,12,amod,black,1.01E-06
6348,2,12,pepper,pepper,pepper,NOUN,NN,10,pobj,pepper,0.999981642
6348,2,14,clove,clove,clove,NOUN,NN,12,conj,clove,0.999997377
6348,2,16,cilantro,cilantro,cilantro,NOUN,NN,14,conj,cilantro,0.999999166
6348,2,18,and,and,and,CCONJ,CC,16,cc,and,1.53E-06
6348,2,19,notes,notes,note,NOUN,NNS,16,conj,notes,7.99E-07
6348,2,20,of,of,of,ADP,IN,19,prep,of,1.78E-09
6348,2,21,honey,honey,honey,NOUN,NN,20,pobj,honey,1
6348,2,22,and,and,and,CCONJ,CC,21,cc,and,1.86E-06
6348,2,23,vanilla,vanilla,vanilla,NOUN,NN,21,conj,vanilla,0.999999762
6348,2,24,that,that,that,DET,WDT,25,nsubj,that,1.38E-10
6348,2,25,come,come,come,VERB,VBP,12,relcl,come,3.27E-07
6348,2,26,out,out,out,PART,RP,25,prt,out,6.77E-07
6348,2,27,as,as,as,ADP,IN,30,mark,as,8.92E-10
6348,2,28,the,the,the,DET,DT,29,det,the,1.02E-07
6348,2,29,spices,spices,spice,NOUN,NNS,30,nsubj,spices,0.999997139
6348,2,30,fade,fade,fade,NOUN,NN,25,advcl,fade,4.53E-05
6348,3,1,The,The,the,DET,DT,3,det,the,1.08E-07
6348,3,2,finish,finish,finish,NOUN,NN,3,compound,finish,8.60E-06
6348,3,3,clings,clings,cling,NOUN,NNS,0,root,clings,7.07E-04
6348,3,4,to,to,to,ADP,IN,3,prep,to,2.31E-09
6348,3,5,the,the,the,DET,DT,6,det,the,5.51E-08
6348,3,6,tongue,tongue,tongue,NOUN,NN,4,pobj,tongue,1.05E-05
6348,3,7,with,with,with,ADP,IN,3,prep,with,5.92E-07
6348,3,8,good,good,good,ADJ,JJ,9,amod,good,6.21E-06
6348,3,9,spices,spices,spice,NOUN,NNS,7,pobj,spices,0.999998212
6348,3,10,and,and,and,CCONJ,CC,9,cc,and,1.79E-06
6348,3,11,a,a,a,DET,DT,12,det,a,1.06E-09
6348,3,12,hint,hint,hint,NOUN,NN,9,conj,hint,3.22E-07
6348,3,13,of,of,of,ADP,IN,12,prep,of,1.70E-09
6348,3,14,honey,honey,honey,NOUN,NN,13,pobj,honey,1
6348,4,2,January,January,January,PROPN,NNP,0,root,january,2.42E-05
6348,4,4,2014,2014,2014,NUM,CD,2,npadvmod,2014,9.28E-05
1371,1,1,Imported,Imported,import,VERB,VBN,0,root,imported,0.021193089
1371,1,2,from,from,from,ADP,IN,1,prep,from,2.96E-07
1371,1,3,Canada,Canada,Canada,PROPN,NNP,2,pobj,canada,1.18E-05
1371,1,5,which,which,which,DET,WDT,6,nsubj,which,3.93E-09
1371,1,6,suggests,suggests,suggest,VERB,VBZ,1,ccomp,suggests,1.04E-07
1371,1,7,that,that,that,ADP,IN,13,mark,that,7.69E-11
1371,1,8,maybe,maybe,maybe,ADV,RB,13,advmod,maybe,1.50E-07
1371,1,9,this,this,this,DET,DT,10,det,this,5.33E-09
1371,1,10,whiskey,whiskey,whiskey,NOUN,NN,13,nsubjpass,whiskey,1.13E-07
1371,1,11,was,was,be,VERB,VBD,13,auxpass,was,2.02E-10
1371,1,12,originally,originally,originally,ADV,RB,13,advmod,originally,2.43E-08
1371,1,13,intended,intended,intend,VERB,VBN,6,ccomp,intended,2.14E-08
1371,1,14,to,to,to,PART,TO,15,aux,to,2.68E-09
1371,1,15,be,be,be,VERB,VB,13,xcomp,be,2.88E-08
1371,1,16,the,the,the,DET,DT,18,det,the,8.94E-08
1371,1,17,flavoring,flavoring,flavor,VERB,VBG,18,amod,flavoring,0.021391377
1371,1,18,component,component,component,NOUN,NN,15,attr,component,1.82E-06
1371,1,19,of,of,of,ADP,IN,18,prep,of,9.59E-10
1371,1,20,a,a,a,DET,DT,22,det,a,5.98E-10
1371,1,21,Canadian,Canadian,canadian,ADJ,JJ,22,amod,canadian,1.45E-05
1371,1,22,whisky,whisky,whisky,NOUN,NN,19,pobj,whisky,2.45E-06
1371,1,25,and,and,and,CCONJ,CC,1,cc,and,7.70E-07
1371,1,26,bottled,bottled,bottle,VERB,VBN,1,conj,bottled,3.33E-06
1371,1,27,in,in,in,ADP,IN,26,prep,in,1.82E-09
1371,1,28,Vermont,Vermont,Vermont,PROPN,NNP,27,pobj,vermont,5.90E-05
1371,2,1,This,This,this,DET,DT,2,nsubj,this,1.00E-08
1371,2,2,is,is,be,VERB,VBZ,0,root,is,3.51E-10
1371,2,3,a,a,a,DET,DT,8,det,a,6.27E-10
1371,2,4,100,100,100,NUM,CD,5,nummod,100,8.98E-07
1371,2,6,unmalted,unmalted,unmalted,ADJ,JJ,8,amod,unmalted,0.995272338
1371,2,7,rye,rye,rye,NOUN,NN,8,compound,rye,1
1371,2,8,whiskey,whiskey,whiskey,NOUN,NN,2,attr,whiskey,1.42E-07
1371,2,10,much,much,much,ADV,RB,11,advmod,much,1.38E-07
1371,2,11,higher,higher,high,ADJ,JJR,8,amod,higher,2.65E-05
1371,2,12,than,than,than,ADP,IN,11,prep,than,1.24E-08
1371,2,13,other,other,other,ADJ,JJ,17,amod,other,1.10E-07
1371,2,14,traditional,traditional,traditional,ADJ,JJ,17,amod,traditional,3.20E-08
1371,2,15,straight,straight,straight,ADJ,JJ,17,amod,straight,2.17E-06
1371,2,16,rye,rye,rye,NOUN,NN,17,compound,rye,1
1371,2,17,whiskeys,whiskeys,whiskey,NOUN,NNS,12,pobj,whiskeys,4.51E-05
1371,3,1,Indeed,Indeed,indeed,ADV,RB,5,advmod,indeed,2.93E-06
1371,3,3,this,this,this,DET,DT,4,det,this,2.18E-08
1371,3,4,whiskey,whiskey,whiskey,NOUN,NN,5,nsubj,whiskey,3.82E-07
1371,3,5,bleeds,bleeds,bleed,VERB,VBZ,0,root,bleeds,8.05E-04
1371,3,6,spices,spices,spice,NOUN,NNS,5,dobj,spices,0.999993443
1371,3,8,especially,especially,especially,ADV,RB,9,advmod,especially,1.47E-07
1371,3,9,brisk,brisk,brisk,ADJ,JJ,10,amod,brisk,2.63E-05
1371,3,10,mint,mint,mint,NOUN,NN,6,appos,mint,0.999940991
1371,3,12,vibrant,vibrant,vibrant,ADJ,JJ,13,amod,vibrant,2.18E-06
1371,3,13,clove,clove,clove,NOUN,NN,10,conj,clove,0.999995112
1371,3,15,and,and,and,CCONJ,CC,13,cc,and,2.09E-06
1371,3,16,teasing,teasing,tease,VERB,VBG,13,conj,teasing,4.97E-06
1371,3,17,nutmeg,nutmeg,nutmeg,ADJ,JJ,16,dobj,nutmeg,0.999954581
1371,3,20,but,but,but,CCONJ,CC,5,cc,but,1.38E-09
1371,3,21,there,there,there,ADV,EX,22,expl,there,1.39E-08
1371,3,22,'s,'s,be,VERB,VBZ,5,conj,s,1.86E-07
1371,3,23,a,a,a,DET,DT,27,det,a,6.88E-10
1371,3,24,rich,rich,rich,ADJ,JJ,27,amod,rich,0.999990702
1371,3,26,sweet,sweet,sweet,ADJ,JJ,27,amod,sweet,0.999999285
1371,3,27,foundation,foundation,foundation,NOUN,NN,22,attr,foundation,3.03E-05
1371,3,28,to,to,to,PART,TO,29,aux,to,3.63E-09
1371,3,29,balance,balance,balance,VERB,VB,27,relcl,balance,7.54E-06
1371,3,30,it,it,-PRON-,PRON,PRP,29,dobj,it,3.00E-09
